"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"81374","E02002985 E02002986","E02002985","E02002986",303,0,7,0,2,115,19,7,151,1,19.5699996948242,12.5699996948242,144.580001831055,-6.42000007629395,110.120002746582,-4.88000011444092,11.210000038147,4.21000003814697,148.789993286133,-2.21000003814697,113.48999786377,-1.50999999046326,98.9000015258789,91.9000015258789,104.139999389648,-46.8600006103516,79.25,-35.75,123.26000213623,116.26000213623,91.7099990844727,-59.2900009155273,69.7900009155273,-45.2099990844727,2.99999992421363e-05,-57,7.00000018696301e-05,-138,3.9999998989515e-05,-81,4.99999987368938e-05,-89,1.99999994947575e-05,-32,0.000590000010561198,-1101,0.000560000014957041,-1044,0.00394000019878149,-7317,0.00390999997034669,-7260,-9.99999974737875e-06,13,-2.99999992421363e-05,49,-1.99999994947575e-05,36,-9.99999974737875e-06,12,0,-1,-9.99999974737875e-06,21,0,8,0.00205000001005828,-3794,0.00205000001005828,-3807,-152,-432,-280,-238,-86,-2213,-2061,-2759,-2607,1,0.649230217969412,"Bath and North East Somerset 001","Bath and North East Somerset 002",1.134,1.134,656,656,1.746683947563,1,2.02821869488536,211,2090,0.0202821869488536,2.31023102310231
"81375","E02002985 E02002987","E02002985","E02002987",249,0,4,2,2,124,20,9,87,1,17.2399997711182,8.23999977111816,84.0299987792969,-2.97000002861023,119.73999786377,-4.26000022888184,13.7799997329712,4.78000020980835,85.4300003051758,-1.57000005245209,121.449996948242,-2.54999995231628,64.7900009155273,55.7900009155273,66.6100006103516,-20.3899993896484,95.2600021362305,-28.7399997711182,97.0899963378906,88.0899963378906,54.9300003051758,-32.0699996948242,78.5599975585938,-45.439998626709,-0.000569999974686652,1054,-0.000989999971352518,1836,-0.000419999996665865,782,-0.000769999984186143,1419,-0.000199999994947575,365,-0.00316999992355704,5886,-0.00261000008322299,4832,0.00014000000373926,-260,0.000709999992977828,-1314,-0.000410000007832423,761,-0.000730000028852373,1345,-0.00031999999191612,584,-0.000549999997019768,1023,-0.00014000000373926,262,-0.00240000011399388,4459,-0.00199000001884997,3698,-0.000460000010207295,849,-4.99999987368938e-05,88,-562,-1057,-495,-860,-298,-3895,-3333,-5835,-5273,0,1.53360198418752,"Bath and North East Somerset 001","Bath and North East Somerset 003",2.324,2.01,1158,1196,1.51538666744176,0.864888123924269,2.92598967297762,433,5087,0.0328358208955224,3.6144578313253
"81376","E02002985 E02002991","E02002985","E02002991",116,1,17,0,0,46,5,9,19,0,11.1000003814697,2.09999990463257,18.6299991607666,-0.370000004768372,45.0999984741211,-0.899999976158142,18.0400009155273,9.03999996185303,17.3799991607666,-1.62000000476837,42.1599998474121,-3.83999991416931,9.25,0.25,18.9599990844727,-0.0399999991059303,45.8600006103516,-0.140000000596046,20.7700004577637,11.7700004577637,16.9200000762939,-2.07999992370605,40.9199981689453,-5.07999992370605,-0.00612000003457069,11351,-0.00755000021308661,14004,-0.00142999994568527,2653,-0.0100699998438358,18691,-0.00395999988541007,7340,-0.00630000000819564,11687,-0.000180000002728775,336,-0.0094200000166893,17469,-0.00329999998211861,6118,-0.0053400001488626,9914,-0.00658999988809228,12226,-0.00124999997206032,2312,-0.00879999995231628,16325,-0.00346000003628433,6411,-0.00548999989405274,10191,-0.000150000007124618,277,-0.00939000025391579,17412,-0.00404000002890825,7498,-2501,-3087,-586,-5013,-2512,-2589,-88,-5824,-3323,20,10.5340770252179,"Bath and North East Somerset 001","Bath and North East Somerset 007",12.867,13.222,6040,6342,1.22146439305477,1.02758995880936,1.62431025102977,2399,22974,0.0171683557706852,7.75862068965517
"81377","E02002985 E02002992","E02002985","E02002992",62,0,1,0,0,56,2,2,0,0,3.46000003814697,1.46000003814697,0,0,54.6399993896484,-1.36000001430511,2.75,0.75,0,0,55.310001373291,-0.689999997615814,7.65000009536743,5.65000009536743,0,0,50.7299995422363,-5.26999998092651,14.9300003051758,12.9300003051758,0,0,43.939998626709,-12.0600004196167,-0.0016499999910593,3064,-0.00285999989137053,5299,-0.00121000001672655,2235,-0.00205000001005828,3803,-0.00039999998989515,739,-0.00633999984711409,11761,-0.00468999985605478,8697,-0.008500000461936,15769,-0.00685000000521541,12705,-0.00106000003870577,1969,-0.00184000004082918,3406,-0.000769999984186143,1437,-0.00132000003941357,2444,-0.000260000000707805,475,-0.0040799998678267,7559,-0.00301000010222197,5590,-0.00546000013127923,10136,-0.00439999997615814,8167,-934,-1619,-685,-1284,-350,-3593,-2659,-7027,-6093,1,8.37376363686688,"Bath and North East Somerset 001","Bath and North East Somerset 008",9.938,10.239,4550,4700,1.18680206785946,1.03028778426243,1.79110485007044,1853,16405,0.0185564996581697,3.2258064516129
"81378","E02002985 E02002993","E02002985","E02002993",36,0,2,0,2,16,3,1,1,0,1.75,0.75,0.990000009536743,-0.00999999977648258,15.6300001144409,-0.370000004768372,1.87999999523163,0.879999995231628,1,0,15.5200004577637,-0.479999989271164,3.5699999332428,2.5699999332428,0.930000007152557,-0.0700000002980232,14.8000001907349,-1.20000004768372,7.40999984741211,6.40999984741211,0.829999983310699,-0.170000001788139,13.0299997329712,-2.97000002861023,-0.00095999997574836,1790,-0.00165999995078892,3086,-0.000699999975040555,1296,-0.00150999997276813,2798,-0.000539999979082495,1008,-0.00325000006705523,6029,-0.00228999997489154,4239,-0.00457999994978309,8491,-0.00361000001430511,6701,-0.000620000006165355,1150,-0.00107999995816499,2000,-0.000460000010207295,850,-0.000969999993685633,1798,-0.000349999987520278,648,-0.00213999999687076,3970,-0.00152000004891306,2820,-0.00307000009343028,5701,-0.00245000002905726,4551,-325,-543,-218,-610,-285,-1032,-707,-2079,-1754,11,9.96885899786989,"Bath and North East Somerset 001","Bath and North East Somerset 009",11.611,12.082,5180,5436,1.16472707683808,1.04056498148308,1.48996641116183,2164,17505,0.0151464989240192,2.77777777777778
"81379","E02002985 E02002994","E02002985","E02002994",22,0,0,0,1,19,1,0,1,0,0.239999994635582,0.239999994635582,0.990000009536743,-0.00999999977648258,18.7900009155273,-0.209999993443489,0,0,1,0,19,0,0.889999985694885,0.889999985694885,0.959999978542328,-0.0399999991059303,18.2299995422363,-0.769999980926514,2.60999989509583,2.60999989509583,0.879999995231628,-0.119999997317791,16.7399997711182,-2.25999999046326,0,0,-0.000289999996311963,546,-0.000289999996311963,546,0,0,0,0,-0.00104000000283122,1926,-0.00104000000283122,1926,-0.00188999995589256,3500,-0.00188999995589256,3500,0,0,-0.000190000006114133,344,-0.000190000006114133,344,0,0,0,0,-0.000709999992977828,1319,-0.000709999992977828,1319,-0.00136999995447695,2533,-0.00136999995447695,2533,0,-170,-170,0,0,-622,-622,-1833,-1833,0,13.1063624276862,"Bath and North East Somerset 001","Bath and North East Somerset 010",15.907,16.69,7844,8846,1.21368534463824,1.04922361224618,2.03055258691142,2965,38781,0.0158777711204314,0
"81380","E02002985 E02002995","E02002985","E02002995",21,0,1,0,0,19,0,0,0,0,0.319999992847443,0.319999992847443,0,0,18.7099990844727,-0.28999999165535,0,0,0,0,19,0,1.75999999046326,1.75999999046326,0,0,17.3899993896484,-1.61000001430511,4.26000022888184,4.26000022888184,0,0,15.1199998855591,-3.88000011444092,0,0,-0.000250000011874363,469,-0.000250000011874363,469,0,0,0,0,-0.00141999998595566,2624,-0.00141999998595566,2624,-0.00218999991193414,4057,-0.00218999991193414,4057,0,0,-0.00015999999595806,301,-0.00015999999595806,301,0,0,0,0,-0.000910000002477318,1687,-0.000910000002477318,1687,-0.00141000002622604,2608,-0.00141000002622604,2608,0,-141,-141,0,0,-789,-789,-1899,-1899,1,8.34051302102615,"Bath and North East Somerset 001","Bath and North East Somerset 011",9.647,11.237,5068,5984,1.15664347932558,1.16481807815901,2.90245672229709,1798,30878,0.019756162676871,0
"81381","E02002985 E02002996","E02002985","E02002996",44,0,0,0,0,26,2,2,6,0,2.71000003814697,0.709999978542328,5.92000007629395,-0.0799999982118607,25.5499992370605,-0.449999988079071,2.25,0.25,5.98999977111816,-0.00999999977648258,25.8400001525879,-0.159999996423721,3.01999998092651,1.01999998092651,5.76999998092651,-0.230000004172325,25.3999996185303,-0.600000023841858,7.17000007629395,5.17000007629395,5.19999980926514,-0.800000011920929,22.8199996948242,-3.1800000667572,-0.00199000001884997,3685,-0.00260000000707805,4831,-0.000620000006165355,1146,-0.00215000007301569,3981,-0.00015999999595806,296,-0.00255000009201467,4728,-0.000560000014957041,1043,-0.00380000006407499,7057,-0.00182000000495464,3372,-0.0013899999903515,2576,-0.00185999996028841,3453,-0.000469999999040738,877,-0.00150000001303852,2783,-0.000110000000859145,207,-0.00197999994270504,3669,-0.000590000010561198,1093,-0.0033400000538677,6202,-0.00196000002324581,3626,-893,-1201,-308,-1004,-111,-1305,-412,-3080,-2187,8,11.6021657887438,"Bath and North East Somerset 001","Bath and North East Somerset 012",13.573,13.882,6120,6612,1.16986778564812,1.02276578501437,1.53245413688941,2530,28094,0.014983431782164,4.54545454545455
"81382","E02002985 E02003000","E02002985","E02003000",108,0,9,0,2,71,7,7,11,0,9.96000003814697,2.96000003814697,10.6800003051758,-0.319999992847443,68.9100036621094,-2.08999991416931,13.7700004577637,6.76999998092651,10.3500003814697,-0.649999976158142,66.2099990844727,-4.78999996185303,20.5400009155273,13.539999961853,9.3100004196167,-1.69000005722046,61.560001373291,-9.4399995803833,36.2200012207031,29.2199993133545,7.65000009536743,-3.34999990463257,50.5200004577637,-20.4799995422363,-0.00255000009201467,4724,-0.00353999994695187,6563,-0.000989999971352518,1839,-0.00404000002890825,7498,-0.00150000001303852,2774,-0.00682999985292554,12663,-0.00427999999374151,7939,-0.00748000014573336,13883,-0.00493999989703298,9159,-0.00165999995078892,3069,-0.00230000005103648,4273,-0.000650000001769513,1204,-0.00263000000268221,4881,-0.000980000011622906,1812,-0.00447000004351139,8298,-0.00282000005245209,5229,-0.00496000004932284,9205,-0.00331000005826354,6136,-1308,-1852,-544,-2560,-1252,-3782,-2474,-6669,-5361,1,4.31612672823032,"Bath and North East Somerset 001","Bath and North East Somerset 016",5.172,5.576,3090,3760,1.19829660379796,1.07811291569992,2.9969064191802,964,14383,0.0303084648493544,6.48148148148148
"81383","E02002985 E02003006","E02002985","E02003006",33,0,2,0,1,30,0,0,0,0,0.219999998807907,0.219999998807907,0,0,29.7999992370605,-0.200000002980232,0,0,0,0,30,0,0.790000021457672,0.790000021457672,0,0,29.2800006866455,-0.720000028610229,3.02999997138977,3.02999997138977,0,0,27.2399997711182,-2.75999999046326,0,0,-0.000300000014249235,563,-0.000300000014249235,563,0,0,0,0,-0.00104999996256083,1953,-0.00104999996256083,1953,-0.00265999999828637,4925,-0.00265999999828637,4925,0,0,-0.000169999999343418,321,-0.000169999999343418,321,0,0,0,0,-0.000650000001769513,1205,-0.000650000001769513,1205,-0.00170999998226762,3166,-0.00170999998226762,3166,0,-169,-169,0,0,-601,-601,-2309,-2309,0,12.2817001632078,"Bath and North East Somerset 001","Bath and North East Somerset 022",15.909,16.602,9560,11658,1.29534183285621,1.04356024891571,3.67087811930354,2966,51815,0.0399951813034574,0
