"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"78455","E02002868 E02002869","E02002868","E02002869",88,0,10,4,0,44,6,6,18,0,9.64999961853027,3.65000009536743,17.1800003051758,-0.819999992847443,42.0499992370605,-1.95000004768372,10.3800001144409,4.38000011444092,16.8299999237061,-1.16999995708466,41.7099990844727,-2.28999996185303,26.7800006866455,20.7800006866455,13.789999961853,-4.21000003814697,32.7599983215332,-11.2399997711182,36.7999992370605,30.7999992370605,11.5299997329712,-6.46999979019165,27.3999996185303,-16.6000003814697,-0.000650000001769513,1204,-0.00121000001672655,2242,-0.000560000014957041,1038,-0.00103000004310161,1913,-0.000380000012228265,709,-0.00473000016063452,8781,-0.0040799998678267,7577,-0.00356999994255602,6617,-0.00292000011540949,5413,-0.000460000010207295,847,-0.00083999999333173,1548,-0.000380000012228265,701,-0.000720000010915101,1335,-0.000260000000707805,488,-0.0031999999191612,5932,-0.00273999990895391,5085,-0.00251000002026558,4654,-0.00205000001005828,3807,-388,-636,-248,-677,-289,-1824,-1436,-2507,-2119,0,1.55918541419597,"Nottingham 001","Nottingham 002",2.516,2.536,1188,1574,1.61366311991664,1.00794912559618,2.38473767885533,469,3572,0.0228706624605678,6.81818181818182
"78456","E02002868 E02002871","E02002868","E02002871",80,1,2,1,0,35,7,3,31,0,7.19000005722046,4.19000005722046,29.3099994659424,-1.69000005722046,33.0999984741211,-1.89999997615814,5.71000003814697,2.71000003814697,29.7600002288818,-1.24000000953674,33.9500007629395,-1.04999995231628,29.5599994659424,26.5599994659424,20.4300003051758,-10.5699996948242,22.7800006866455,-12.2200002670288,35.8400001525879,32.8400001525879,17.8799991607666,-13.1199998855591,19.9400005340576,-15.0600004196167,-4.99999987368938e-05,85,-0.000209999998332933,386,-0.00015999999595806,301,-7.00000018696301e-05,137,-2.99999992421363e-05,52,-0.00121999997645617,2257,-0.00116999994497746,2172,0.000910000002477318,-1695,0.00095999997574836,-1780,-4.99999987368938e-05,97,-0.000190000006114133,343,-0.000130000000353903,246,-7.999999797903e-05,156,-2.99999992421363e-05,59,-0.00101999996695668,1896,-0.000969999993685633,1799,0.000289999996311963,-547,0.000349999987520278,-644,-110,-292,-182,-209,-99,-1287,-1177,-1560,-1450,1,1.46760653465406,"Nottingham 001","Nottingham 004",1.933,1.953,748,1134,1.31711051590244,1.01034661148474,1.6554578375582,360,2481,0.0153609831029186,3.75
"78457","E02002868 E02002872","E02002868","E02002872",87,0,11,1,1,57,2,4,11,0,7.55000019073486,3.54999995231628,10.5200004577637,-0.479999989271164,54.5800018310547,-2.42000007629395,6.92000007629395,2.92000007629395,10.4700002670288,-0.529999971389771,55.2700004577637,-1.73000001907349,24.6900005340576,20.6900005340576,8.40999984741211,-2.58999991416931,42.5099983215332,-14.4899997711182,35.439998626709,31.4400005340576,6.96000003814697,-4.03999996185303,35.1800003051758,-21.8199996948242,-0.00101000000722706,1882,-0.00206999992951751,3830,-0.00104999996256083,1948,-0.00152000004891306,2817,-0.000500000023748726,935,-0.00851000007241964,15785,-0.00749000022187829,13903,-0.00791999977082014,14689,-0.00689999992027879,12807,-0.00067999999737367,1253,-0.00136999995447695,2533,-0.000690000015310943,1280,-0.00101000000722706,1875,-0.000339999998686835,622,-0.00559999980032444,10380,-0.0049200002104044,9127,-0.00527000008150935,9781,-0.00460000010207295,8528,-433,-879,-446,-748,-315,-3102,-2669,-4451,-4018,0,2.56758697276515,"Nottingham 001","Nottingham 005",3.635,3.768,1806,2280,1.41572614231069,1.03658872077029,2.33837689133425,678,6175,0.0220276008492569,4.59770114942529
"78458","E02002868 E02002873","E02002868","E02002873",76,0,14,0,0,27,5,0,29,0,3.04999995231628,3.04999995231628,27.8299999237061,-1.16999995708466,25.9200000762939,-1.08000004291534,0,0,29,0,27,0,22.2299995422363,22.2299995422363,20.5,-8.5,19.1100006103516,-7.8899998664856,31.3400001525879,31.3400001525879,17.0300006866455,-11.9700002670288,15.8699998855591,-11.1300001144409,0,0,-0.00022000000171829,398,-0.00022000000171829,398,0,0,0,0,-0.00171999994199723,3189,-0.00171999994199723,3189,0.000929999980144203,-1728,0.000929999980144203,-1728,0,0,-0.000169999999343418,309,-0.000169999999343418,309,0,0,0,0,-0.00135999999474734,2530,-0.00135999999474734,2530,0.000230000005103648,-435,0.000230000005103648,-435,0,-152,-152,0,0,-1122,-1122,-1583,-1583,1,1.66987223825251,"Nottingham 001","Nottingham 006",2.828,2.437,1494,1954,1.69354273651465,0.861739745403112,2.51060820367751,527,5867,0.027492819039803,0
"78459","E02002868 E02002874","E02002868","E02002874",160,0,48,0,0,96,9,1,6,0,7.19999980926514,6.19999980926514,5.76999998092651,-0.230000004172325,92.2600021362305,-3.74000000953674,5.48000001907349,4.48000001907349,5.80000019073486,-0.200000002980232,93.129997253418,-2.86999988555908,43.4000015258789,42.4000015258789,4.40000009536743,-1.60000002384186,70.4300003051758,-25.5699996948242,63.8600006103516,62.8600006103516,3.63000011444092,-2.36999988555908,58.0699996948242,-37.9300003051758,-0.000380000012228265,709,-0.002779999980703,5163,-0.00240000011399388,4454,-0.00155000004451722,2868,-0.00115999998524785,2159,-0.0200999993830919,37295,-0.0197199992835522,36586,-0.0206000003963709,38227,-0.0202200002968311,37518,-0.000250000011874363,458,-0.00179999996908009,3335,-0.00155000004451722,2877,-0.00100000004749745,1854,-0.000750000006519258,1396,-0.0129899997264147,24098,-0.0127400001510978,23640,-0.0133400000631809,24756,-0.0131000000983477,24298,-121,-830,-709,-664,-543,-4972,-4851,-7317,-7196,0,2.84376365482386,"Nottingham 001","Nottingham 007",3.729,4.358,1716,2716,1.31129040687841,1.16867792973988,2.46714936980424,695,6710,0.0197338228545204,0.625
"78460","E02002868 E02002875","E02002868","E02002875",46,0,5,0,0,26,1,1,13,0,3.3199999332428,2.3199999332428,12.3299999237061,-0.670000016689301,24.6599998474121,-1.3400000333786,2.0699999332428,1.07000005245209,12.6599998474121,-0.340000003576279,25.4599990844727,-0.540000021457672,15.5600004196167,14.5600004196167,8.81999969482422,-4.17999982833862,17.5300006866455,-8.47000026702881,20.25,19.25,7.46000003814697,-5.53999996185303,14.8299999237061,-11.1700000762939,-0.000119999996968545,228,-0.000469999999040738,862,-0.000339999998686835,634,-0.000209999998332933,394,-9.00000013643876e-05,166,-0.00264000007882714,4895,-0.00252000009641051,4667,-0.00109000003430992,2015,-0.00095999997574836,1787,-9.00000013643876e-05,163,-0.000330000009853393,606,-0.00023999999393709,443,-0.000150000007124618,282,-5.99999984842725e-05,119,-0.00185000000055879,3432,-0.00176000001374632,3269,-0.000899999984540045,1668,-0.000809999997727573,1505,-80,-295,-215,-165,-85,-1451,-1371,-1887,-1807,0,2.24720281475709,"Nottingham 001","Nottingham 008",3.215,3.235,1314,1700,1.43066748532331,1.00622083981337,1.83514774494557,599,4644,0.0176197836166924,2.17391304347826
"78461","E02002868 E02002876","E02002868","E02002876",40,1,6,0,1,29,2,1,0,0,2.84999990463257,1.85000002384186,0,0,27.6299991607666,-1.37000000476837,2.42000007629395,1.41999995708466,0,0,28.0400009155273,-0.959999978542328,12.1999998092651,11.1999998092651,0,0,20.6299991607666,-8.36999988555908,16.7700004577637,15.7700004577637,0,0,17.2399997711182,-11.7600002288818,-0.000460000010207295,847,-0.00130000000353903,2410,-0.00083999999333173,1563,-0.000899999984540045,1663,-0.00044000000343658,816,-0.00657999981194735,12203,-0.00612000003457069,11356,-0.00663000019267201,12294,-0.00616999994963408,11447,-0.000289999996311963,544,-0.00083999999333173,1548,-0.000539999979082495,1004,-0.000579999992623925,1068,-0.00028000000747852,524,-0.00423000007867813,7843,-0.00393000012263656,7299,-0.00425999984145164,7902,-0.003969999961555,7358,-140,-421,-281,-338,-198,-1857,-1717,-2553,-2413,1,3.03355304948214,"Nottingham 001","Nottingham 009",4.057,4.406,1898,2378,1.33737565614439,1.08602415578013,1.94725166379098,756,6634,0.0152065365410803,2.5
"78462","E02002868 E02002877","E02002868","E02002877",35,0,6,0,0,26,3,0,0,0,1.12000000476837,1.12000000476837,0,0,25.1700000762939,-0.829999983310699,0,0,0,0,26,0,7.76999998092651,7.76999998092651,0,0,20.2299995422363,-5.76999998092651,12.6700000762939,12.6700000762939,0,0,16.5900001525879,-9.40999984741211,0,0,-0.000590000010561198,1094,-0.000590000010561198,1094,0,0,0,0,-0.0049200002104044,9122,-0.0049200002104044,9122,-0.00573999993503094,10641,-0.00573999993503094,10641,0,0,-0.000380000012228265,704,-0.000380000012228265,704,0,0,0,0,-0.00316000008024275,5863,-0.00316000008024275,5863,-0.00368999992497265,6841,-0.00368999992497265,6841,0,-197,-197,0,0,-1368,-1368,-2232,-2232,0,3.71978897244339,"Nottingham 001","Nottingham 010",4.642,5.453,2332,3404,1.24792025418335,1.17470917707885,2.77897457992245,865,14496,0.0236567027324409,0
"78463","E02002868 E02002879","E02002868","E02002879",50,0,7,0,0,38,2,1,1,1,3.33999991416931,2.33999991416931,0.949999988079071,-0.0500000007450581,36.1800003051758,-1.82000005245209,2.04999995231628,1.04999995231628,0.970000028610229,-0.0299999993294477,37.1699981689453,-0.829999983310699,14.5900001525879,13.5900001525879,0.730000019073486,-0.270000010728836,27.4799995422363,-10.5200004577637,20.2900009155273,19.2900009155273,0.610000014305115,-0.389999985694885,23.0499992370605,-14.9499998092651,-0.000539999979082495,1000,-0.00182000000495464,3373,-0.00127999996766448,2373,-0.000929999980144203,1716,-0.000390000001061708,716,-0.00925000011920929,17164,-0.00870999973267317,16164,-0.00822999980300665,15265,-0.00768999988213181,14265,-0.000349999987520278,645,-0.00116999994497746,2174,-0.000820000015664846,1529,-0.000600000028498471,1106,-0.000250000011874363,461,-0.00596000021323562,11063,-0.00561999995261431,10418,-0.0053099999204278,9855,-0.00496000004932284,9210,-203,-670,-467,-416,-213,-2911,-2708,-4050,-3847,0,3.44284717707627,"Nottingham 001","Nottingham 012",5.061,4.889,2208,2558,1.47000425511129,0.966014621616281,1.7190278601067,943,8342,0.0206586213949683,2
"78464","E02002868 E02002881","E02002868","E02002881",27,0,3,0,0,19,3,0,2,0,0.949999988079071,0.949999988079071,1.94000005722046,-0.0599999986588955,18.3199996948242,-0.680000007152557,0,0,2,0,19,0,5.8899998664856,5.8899998664856,1.5900000333786,-0.409999996423721,14.8199996948242,-4.17999982833862,9.36999988555908,9.36999988555908,1.32000005245209,-0.680000007152557,12.3800001144409,-6.61999988555908,0,0,-0.000590000010561198,1087,-0.000590000010561198,1087,0,0,0,0,-0.00420999992638826,7816,-0.00420999992638826,7816,-0.00381999998353422,7087,-0.00381999998353422,7087,0,0,-0.000390000001061708,725,-0.000390000001061708,725,0,0,0,0,-0.00282000005245209,5225,-0.00282000005245209,5225,-0.00263000000268221,4886,-0.00263000000268221,4886,0,-218,-218,0,0,-1347,-1347,-2136,-2136,0,5.18220934728136,"Nottingham 001","Nottingham 014",6.358,6.352,3348,3718,1.22688984059192,0.999056307014785,1.9817552689525,1185,12177,0.0195214105793451,0
