"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"47","E02006235","Babergh 009",2994,12,287,54,3,19,2335,95,41,120,28,87.6119995117188,46.6119995117188,114.936996459961,-5.06300020217896,2297.36010742188,-37.6399993896484,70.1790008544922,29.1790008544922,116.321998596191,-3.67799997329712,2311.587890625,-23.4120006561279,235.119003295898,194.119003295898,93.6920013427734,-26.3080005645752,2183.44604492188,-151.554000854492,415.496002197266,374.496002197266,84.3570022583008,-35.6430015563965,2027.86804199219,-307.131988525391,-0.02415999956429,44825,-0.0621800012886524,115333,-0.0380199998617172,70508,-0.0416000001132488,77167,-0.0174300000071526,32342,-0.123819999396801,229684,-0.099650003015995,184859,-0.187549993395805,347936,-0.16338999569416,303111,-0.0154799995943904,28714,-0.0371600016951561,68913,-0.021679999306798,40199,-0.0266600009053946,49460,-0.0111800003796816,20746,-0.0771199986338615,143050,-0.0616400018334389,114336,-0.124499998986721,230959,-0.109020002186298,202245,-12528,-32289,-19761,-22566,-10038,-78153,-65625,-182471,-169943,NA
"68","E02006264","Mid Suffolk 004",3740,7,112,60,5,28,3129,198,61,127,13,144.276992797852,83.2770004272461,119.803001403809,-7.19700002670288,3061.99291992188,-67.0070037841797,83.9599990844727,22.9599990844727,126.458999633789,-0.541000008583069,3108.80810546875,-20.1919994354248,430.877990722656,369.877990722656,88.5989990234375,-38.4010009765625,2838.22192382812,-290.778015136719,666.078979492188,605.078979492188,81.8150024414062,-45.185001373291,2635.74291992188,-493.256988525391,-0.0452000014483929,83858,-0.0998499989509583,185235,-0.0546500012278557,101377,-0.0666899979114532,123713,-0.0214900001883507,39855,-0.219940006732941,408030,-0.174730002880096,324172,-0.274109989404678,508536,-0.228909999132156,424678,-0.0259399991482496,48124,-0.060029998421669,111347,-0.0340900011360645,63223,-0.0384799987077713,71373,-0.012529999949038,23249,-0.138150006532669,256299,-0.112209998071194,208175,-0.175319999456406,325253,-0.149379998445511,277129,-26096,-57051,-30955,-39376,-13280,-144388,-118292,-266154,-240058,0.0100260932269063
"119","E02006257","Ipswich 013",2802,1,32,331,16,46,1737,229,99,302,9,182.662002563477,83.6620025634766,290.822998046875,-11.1770000457764,1687.55603027344,-49.4440002441406,185.462997436523,86.4629974365234,288.095001220703,-13.9049997329712,1689.9150390625,-47.0849990844727,561.109985351562,462.109985351562,232.292999267578,-69.7070007324219,1471.40795898438,-265.592010498047,818.60302734375,719.60302734375,202.141998291016,-99.8580017089844,1311.77795410156,-425.221984863281,-0.0303300004452467,56263,-0.0663100033998489,122985,-0.0359800010919571,66722,-0.0496399998664856,92077,-0.0193099994212389,35814,-0.189349994063377,351266,-0.159020006656647,295003,-0.211229994893074,391872,-0.180899992585182,335609,-0.0198599994182587,36845,-0.0419100001454353,77722,-0.0220500007271767,40877,-0.032600000500679,60468,-0.0127400001510978,23623,-0.122100003063679,226501,-0.10224000364542,189656,-0.139850005507469,259423,-0.119979999959469,222578,-10733,-24245,-13512,-18604,-7871,-72161,-61428,-126519,-115786,0.0182014741429825
"240","E02006304","Waveney 003",2835,3,30,73,24,51,2021,174,195,193,71,322.183990478516,127.18399810791,180.968994140625,-12.0310001373291,1922.48999023438,-98.5100021362305,272.454986572266,77.4550018310547,182.856002807617,-10.1440000534058,1962.86096191406,-58.1389999389648,744.786987304688,549.786987304688,138.785003662109,-54.2150001525879,1596.87805175781,-424.122009277344,924.697021484375,729.697021484375,127.837997436523,-65.1620025634766,1451.07104492188,-569.929016113281,-0.0823300033807755,152742,-0.155799999833107,289038,-0.0734699964523315,136296,-0.105769999325275,196231,-0.0234399996697903,43489,-0.330199986696243,612598,-0.247869998216629,459856,-0.330969989299774,614029,-0.24864000082016,461287,-0.0535899996757507,99419,-0.100280001759529,186030,-0.0466899983584881,86611,-0.0688600018620491,127750,-0.0152700003236532,28331,-0.213679999113083,396423,-0.160089999437332,297004,-0.216690003871918,402003,-0.163100004196167,302584,-27483,-51960,-24477,-38405,-10922,-128086,-100603,-183200,-155717,0.0090655564623284
"290","E02006292","Suffolk Coastal 006",2588,6,99,54,5,27,2090,126,65,100,16,120.692001342773,55.6920013427734,96.7559967041016,-3.24399995803833,2043.46398925781,-46.5359992980957,108.278999328613,43.2789993286133,98.5500030517578,-1.45000004768372,2052.291015625,-37.7089996337891,319.236999511719,254.236999511719,81.1080017089844,-18.8920001983643,1882.26501464844,-207.735000610352,534.56201171875,469.56201171875,72.8509979248047,-27.1490001678467,1698.01904296875,-391.980987548828,-0.0505499988794327,93775,-0.092399999499321,171406,-0.0418500006198883,77631,-0.0816499963402748,151467,-0.0310999993234873,57692,-0.183540001511574,340505,-0.132990002632141,246730,-0.228060007095337,423099,-0.177509993314743,329324,-0.0306599996984005,56884,-0.0568200014531612,105392,-0.0261599998921156,48508,-0.0495800003409386,91979,-0.0189200006425381,35095,-0.116180002689362,215522,-0.0855199992656708,158638,-0.147770002484322,274132,-0.117109999060631,217248,-24803,-44799,-19996,-41834,-17031,-103014,-78211,-191360,-166557,0.0198969142970008
"294","E02006301","Suffolk Coastal 015",2357,2,44,70,20,19,1422,113,140,510,17,242.727996826172,102.727996826172,476.47900390625,-33.5209999084473,1362.56799316406,-59.431999206543,202.666000366211,62.6660003662109,487.175994873047,-22.8239994049072,1387.09899902344,-34.9010009765625,631.018981933594,491.019012451172,332.519012451172,-177.481002807617,1152.4189453125,-269.580993652344,719.046020507812,579.046020507812,319.489013671875,-190.511001586914,1089.63403320312,-332.365997314453,-0.0394399985671043,73163,-0.0641700029373169,119045,-0.0247399993240833,45882,-0.0597099997103214,110780,-0.0202799998223782,37617,-0.0936300009489059,173693,-0.0541899986565113,100530,-0.101300001144409,187927,-0.0618599988520145,114764,-0.0237300004810095,44015,-0.0384799987077713,71373,-0.014750000089407,27358,-0.0359699986875057,66732,-0.012249999679625,22717,-0.0590899996459484,109618,-0.0353699997067451,65603,-0.0681800022721291,126482,-0.0444599986076355,82467,-20998,-34241,-13243,-32854,-11856,-61712,-40714,-96374,-75376,NA
"414","E02006283","St Edmundsbury 011",2645,12,50,45,13,24,2126,127,38,184,26,82.6139984130859,44.6139984130859,177.682998657227,-6.31699991226196,2092.24389648438,-33.7560005187988,53.8050003051758,15.8050003051758,181.802993774414,-2.19700002670288,2113.958984375,-12.0410003662109,271.205993652344,233.205993652344,143.712005615234,-40.2879981994629,1957.40905761719,-168.591003417969,436.154998779297,398.154998779297,128.921005249023,-55.0789985656738,1823.16296386719,-302.837005615234,-0.0205300003290176,38086,-0.0429299995303154,79618,-0.0223999992012978,41532,-0.0265599992126226,49274,-0.00602999981492758,11188,-0.101070001721382,187489,-0.0805400013923645,149403,-0.133670002222061,247980,-0.113140001893044,209894,-0.0115999998524785,21511,-0.0239199995994568,44355,-0.0123199997469783,22844,-0.015429999679327,28624,-0.00383000005967915,7113,-0.0617300011217594,114516,-0.0501400008797646,93005,-0.0869299992918968,161266,-0.0753400027751923,139755,-11992,-25636,-13644,-15706,-3714,-63203,-51211,-130389,-118397,0.0204850730382306
"497","E02006271","Mid Suffolk 011",4104,1,91,87,5,37,2769,173,229,695,17,350.703002929688,121.703002929688,652.388000488281,-42.6119995117188,2699.02099609375,-69.9800033569336,281.980987548828,52.9809989929199,675.119995117188,-19.8799991607666,2739.6689453125,-29.3309993743896,714.518005371094,485.518005371094,516.883972167969,-178.115997314453,2496.61010742188,-272.390014648438,996.903015136719,767.903015136719,457.447998046875,-237.552001953125,2301.57397460938,-467.425994873047,-0.0335300005972385,62209,-0.0678000003099442,125771,-0.0342699997127056,63562,-0.0433100014925003,80346,-0.00977999996393919,18137,-0.120190002024174,222957,-0.0866499990224838,160748,-0.14835000038147,275214,-0.114820003509521,213005,-0.0242500007152557,44979,-0.0454499982297421,84298,-0.0211999993771315,39319,-0.0312099996954203,57890,-0.0069599999114871,12911,-0.0827900022268295,153582,-0.0585500001907349,108603,-0.109410002827644,202971,-0.0851700007915497,157992,-31873,-56690,-24817,-40764,-8891,-114841,-82968,-219933,-188060,0.0125821178042534
"539","E02006256","Ipswich 012",4089,4,142,283,18,45,2256,360,128,834,19,244.63200378418,116.63200378418,801.856994628906,-32.1430015563965,2194.59594726562,-61.4039993286133,216.695007324219,88.6949996948242,806.195007324219,-27.8050003051758,2212.52001953125,-43.4799995422363,788.572021484375,660.572021484375,633.905029296875,-200.095001220703,1925.18994140625,-330.809997558594,1152.708984375,1024.708984375,538.810974121094,-295.188995361328,1728.13598632812,-527.862976074219,-0.0379500016570091,70402,-0.0755600035190582,140157,-0.0376100018620491,69755,-0.0554799996316433,102905,-0.0175199992954731,32503,-0.182809993624687,339138,-0.144859999418259,268736,-0.182750001549721,339037,-0.144800007343292,268635,-0.0236799996346235,43924,-0.0466499999165535,86510,-0.02297000028193,42586,-0.0348200015723705,64585,-0.0111400000751019,20661,-0.119400002062321,221483,-0.095720000565052,177559,-0.126169994473457,234051,-0.102490000426769,190127,-17749,-34893,-17144,-27984,-10235,-92295,-74546,-158628,-140879,0.0178393647081943
"609","E02006241","Forest Heath 004",4056,2,9,56,13,32,2997,260,198,473,16,387.654998779297,189.654998779297,431.932006835938,-41.068000793457,2865.80590820312,-131.194000244141,258.257995605469,60.257999420166,454.477996826172,-18.5219993591309,2960.20703125,-36.7929992675781,1023.52697753906,825.526977539062,298.605987548828,-174.393997192383,2421.64208984375,-575.357971191406,1214.36096191406,1016.36102294922,284.884002685547,-188.115997314453,2264.70190429688,-732.297973632812,-0.0681400001049042,126422,-0.1596499979496,296175,-0.091499999165535,169753,-0.0908199995756149,168481,-0.0226700007915497,42059,-0.33364999294281,619012,-0.265509992837906,492590,-0.327419996261597,607450,-0.259279996156693,481028,-0.0384199991822243,71274,-0.0944899991154671,175280,-0.0560699999332428,104006,-0.0509600006043911,94540,-0.0125399995595217,23266,-0.210669994354248,390846,-0.172250002622604,319572,-0.213190004229546,395505,-0.174769997596741,324231,-30461,-66283,-35822,-41272,-10811,-170672,-140211,-251573,-221112,0.00405310971348707
