"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"100874","E02003892 E02003894","E02003892","E02003894",407,0,9,2,6,333,35,10,12,0,19.2900009155273,9.28999996185303,11.7200002670288,-0.280000001192093,325.209991455078,-7.78999996185303,20.4200000762939,10.4200000762939,11.5799999237061,-0.419999986886978,324.380004882812,-8.61999988555908,59.2299995422363,49.2299995422363,10.5600004196167,-1.44000005722046,291.649993896484,-41.3499984741211,116.019996643066,106.019996643066,8.82999992370605,-3.17000007629395,244.020004272461,-88.9800033569336,-0.00743999984115362,13805,-0.0144300004467368,26777,-0.0069900001399219,12972,-0.0127800004556775,23717,-0.0053400001488626,9912,-0.0412199981510639,76479,-0.033780001103878,62674,-0.0520199984312057,96506,-0.0445800013840199,82701,-0.00490000005811453,9085,-0.00947999954223633,17591,-0.00459000002592802,8506,-0.00843000039458275,15629,-0.00353000010363758,6544,-0.0270600002259016,50194,-0.0221599992364645,41109,-0.0345200002193451,64049,-0.0296299997717142,54964,-2935,-5682,-2747,-5974,-3039,-17523,-14588,-34326,-31391,0,6.43267067764033,"Cornwall 010","Cornwall 013",6.938,6932,3180,3390,1.07855669094272,999.135197463246,2.94032862496397,1293,31573,0.0383727639930756,2.45700245700246
"100875","E02003892 E02003895","E02003892","E02003895",47,0,1,0,0,41,0,1,4,0,1.17999994754791,0.180000007152557,3.99000000953674,-0.00999999977648258,40.8400001525879,-0.159999996423721,3.79999995231628,2.79999995231628,3.84999990463257,-0.150000005960464,38.4300003051758,-2.5699999332428,1.08000004291534,0.0799999982118607,3.98000001907349,-0.0199999995529652,40.939998626709,-0.0599999986588955,2.80999994277954,1.80999994277954,3.8199999332428,-0.180000007152557,39.4099998474121,-1.5900000333786,-0.00203999993391335,3784,-0.00237999996170402,4414,-0.000339999998686835,630,-0.00602000020444393,11161,-0.00398000003769994,7377,-0.00212000007741153,3930,-7.999999797903e-05,146,-0.00365000008605421,6773,-0.00161000003572553,2989,-0.00104999996256083,1950,-0.0012300000526011,2288,-0.000180000002728775,338,-0.00310000008903444,5752,-0.00205000001005828,3802,-0.00112000002991408,2074,-7.00000018696301e-05,124,-0.00248000002466142,4593,-0.00142999994568527,2643,-925,-1084,-159,-3517,-2592,-984,-59,-2529,-1604,0,17.5933502551313,"Cornwall 010","Cornwall 016",19.806,19806,10520,11126,1.12576625331627,1000,4.04422902150863,3692,106362,0.0478137937998586,2.12765957446809
"100876","E02003892 E02003896","E02003892","E02003896",41,0,0,0,0,36,2,0,2,1,0.150000005960464,0.150000005960464,1.99000000953674,-0.00999999977648258,35.8699989318848,-0.129999995231628,0,0,2,0,36,0,0.409999996423721,0.409999996423721,1.98000001907349,-0.0199999995529652,35.6399993896484,-0.360000014305115,2.38000011444092,2.38000011444092,1.87999999523163,-0.119999997317791,33.9099998474121,-2.08999991416931,0,0,-0.00031999999191612,595,-0.00031999999191612,595,0,0,0,0,-0.000739999988581985,1367,-0.000739999988581985,1367,-0.00254000001586974,4707,-0.00254000001586974,4707,0,0,-0.00015999999595806,297,-0.00015999999595806,297,0,0,0,0,-0.000410000007832423,767,-0.000410000007832423,767,-0.0019000000320375,3525,-0.0019000000320375,3525,0,-138,-138,0,0,-372,-372,-2165,-2165,0,18.3835658145038,"Cornwall 010","Cornwall 017",20.34,20340,10658,11268,1.10642299786871,1000,3.992133726647,3792,107630,0.0470009832841691,0
"100877","E02003892 E02003897","E02003892","E02003897",62,0,0,0,2,59,1,0,0,0,0.28999999165535,0.28999999165535,0,0,58.7200012207031,-0.280000001192093,0,0,0,0,59,0,0.959999978542328,0.959999978542328,0,0,58.0800018310547,-0.920000016689301,4.55999994277954,4.55999994277954,0,0,54.6599998474121,-4.34000015258789,0,0,-0.000590000010561198,1094,-0.000590000010561198,1094,0,0,0,0,-0.00173000001814216,3211,-0.00173000001814216,3211,-0.00537999998778105,9973,-0.00537999998778105,9973,0,0,-0.00031999999191612,589,-0.00031999999191612,589,0,0,0,0,-0.00101000000722706,1864,-0.00101000000722706,1864,-0.00346000003628433,6410,-0.00346000003628433,6410,0,-245,-245,0,0,-815,-815,-3863,-3863,0,11.5847103184531,"Cornwall 010","Cornwall 022",17.444,18647,8592,9272,1.50577783306447,1068.96354047237,3.9039211190094,3252,71171,0.0414007615165978,0
"100878","E02003892 E02003898","E02003892","E02003898",79,0,0,0,2,68,5,0,4,0,0.300000011920929,0.300000011920929,3.98000001907349,-0.0199999995529652,67.7399978637695,-0.259999990463257,0,0,4,0,68,0,0.639999985694885,0.639999985694885,3.97000002861023,-0.0299999993294477,67.4499969482422,-0.550000011920929,4.25,4.25,3.77999997138977,-0.219999998807907,64.3399963378906,-3.66000008583069,0,0,-0.000750000006519258,1391,-0.000750000006519258,1391,0,0,0,0,-0.00135000003501773,2497,-0.00135000003501773,2497,-0.00524999992921948,9748,-0.00524999992921948,9748,0,0,-0.00031999999191612,595,-0.00031999999191612,595,0,0,0,0,-0.000650000001769513,1200,-0.000650000001769513,1200,-0.003969999961555,7357,-0.003969999961555,7357,0,-316,-316,0,0,-666,-666,-4409,-4409,0,13.2543722579512,"Cornwall 010","Cornwall 023",23.677,23738,11292,12876,1.78635393206166,1002.57633990793,3.89829792625755,4414,70975,0.0542589940180302,0
"100879","E02003892 E02003899","E02003892","E02003899",18,0,1,0,0,15,1,0,1,0,0.0799999982118607,0.0799999982118607,1,0,14.9300003051758,-0.0700000002980232,0,0,1,0,15,0,0.270000010728836,0.270000010728836,0.980000019073486,-0.0199999995529652,14.7799997329712,-0.219999998807907,1.29999995231628,1.29999995231628,0.930000007152557,-0.0700000002980232,13.9200000762939,-1.08000004291534,0,0,-0.000150000007124618,280,-0.000150000007124618,280,0,0,0,0,-0.000429999985499308,801,-0.000429999985499308,801,-0.00126000004820526,2344,-0.00126000004820526,2344,0,0,-9.00000013643876e-05,161,-9.00000013643876e-05,161,0,0,0,0,-0.000269999989541247,505,-0.000269999989541247,505,-0.000950000016018748,1756,-0.000950000016018748,1756,0,-62,-62,0,0,-202,-202,-976,-976,0,11.816306268053,"Cornwall 010","Cornwall 025",17.399,18922,8432,9008,1.47245675639269,1087.53376630841,3.96574515776769,3243,70726,0.0372053694112673,0
"100880","E02003892 E02003900","E02003892","E02003900",24,0,1,0,2,20,1,0,0,0,0.119999997317791,0.119999997317791,0,0,19.8999996185303,-0.100000001490116,0,0,0,0,20,0,0.370000004768372,0.370000004768372,0,0,19.6900005340576,-0.310000002384186,1.72000002861023,1.72000002861023,0,0,18.5699996948242,-1.42999994754791,0,0,-0.000260000000707805,489,-0.000260000000707805,489,0,0,0,0,-0.000709999992977828,1309,-0.000709999992977828,1309,-0.00216999999247491,4022,-0.00216999999247491,4022,0,0,-0.000130000000353903,245,-0.000130000000353903,245,0,0,0,0,-0.000380000012228265,710,-0.000380000012228265,710,-0.0013899999903515,2585,-0.0013899999903515,2585,0,-95,-95,0,0,-290,-290,-1364,-1364,0,11.8166958366707,"Cornwall 010","Cornwall 026",17.979,19502,8824,9390,1.52149130759597,1084.70993937371,3.84893486845765,3351,72631,0.0362014152394626,0
"100881","E02003892 E02003935","E02003892","E02003935",35,0,0,0,0,32,1,0,2,0,0.140000000596046,0.140000000596046,1.99000000953674,-0.00999999977648258,31.8700008392334,-0.129999995231628,0,0,2,0,32,0,0.370000004768372,0.370000004768372,1.98000001907349,-0.0199999995529652,31.6599998474121,-0.340000003576279,2.08999991416931,2.08999991416931,1.87999999523163,-0.119999997317791,30.1000003814697,-1.89999997615814,0,0,-0.000300000014249235,549,-0.000300000014249235,549,0,0,0,0,-0.000660000019706786,1230,-0.000660000019706786,1230,-0.00218000006861985,4037,-0.00218000006861985,4037,0,0,-0.000150000007124618,273,-0.000150000007124618,273,0,0,0,0,-0.000369999994290993,689,-0.000369999994290993,689,-0.00167999998666346,3111,-0.00167999998666346,3111,0,-134,-134,0,0,-354,-354,-2001,-2001,0,16.3785987365409,"Cornwall 010","Cornwall 005",20.671,20620,10568,11300,1.26207377886869,997.532775385806,3.79759082772967,3853,105608,0.0458292919495635,0
"100882","E02003892 E02003936","E02003892","E02003936",100,0,2,0,0,94,4,0,0,0,0.629999995231628,0.629999995231628,0,0,93.4100036621094,-0.589999973773956,0,0,0,0,94,0,1.67999994754791,1.67999994754791,0,0,92.4199981689453,-1.58000004291534,7.32000017166138,7.32000017166138,0,0,87.120002746582,-6.88000011444092,0,0,-0.0014900000533089,2763,-0.0014900000533089,2763,0,0,0,0,-0.00343000004068017,6355,-0.00343000004068017,6355,-0.00951000023633242,17636,-0.00951000023633242,17636,0,0,-0.000690000015310943,1275,-0.000690000015310943,1275,0,0,0,0,-0.00175000005401671,3251,-0.00175000005401671,3251,-0.00610999995842576,11337,-0.00610999995842576,11337,0,-614,-614,0,0,-1638,-1638,-7145,-7145,0,15.5278991921705,"Cornwall 010","Cornwall 006",20.276,20276,9072,9882,1.3057786986551,1000,2.76681791280331,3780,63274,0.0377786545669757,0
"100888","E02003893 E02003894","E02003893","E02003894",206,0,2,0,2,183,12,1,6,0,2.29999995231628,1.29999995231628,5.96000003814697,-0.0399999991059303,181.839996337891,-1.1599999666214,2.10999989509583,1.11000001430511,5.98999977111816,-0.00999999977648258,181.979995727539,-1.01999998092651,5.80999994277954,4.80999994277954,5.84000015258789,-0.159999996423721,178.720001220703,-4.28000020980835,22.3099994659424,21.3099994659424,5.3600001335144,-0.639999985694885,164,-19,-0.0014900000533089,2759,-0.00334999989718199,6217,-0.00185999996028841,3458,-0.00264000007882714,4896,-0.00115000002551824,2137,-0.00755999982357025,14019,-0.00607000011950731,11260,-0.0185499992221594,34423,-0.0170699991285801,31664,-0.000969999993685633,1805,-0.00221999990753829,4117,-0.00124999997206032,2312,-0.00173000001814216,3203,-0.000750000006519258,1398,-0.00506999995559454,9395,-0.00408999994397163,7590,-0.0127199999988079,23598,-0.0117499995976686,21793,-613,-1390,-777,-1295,-682,-3488,-2875,-13389,-12776,0,10.5929910861709,"Cornwall 012","Cornwall 013",13.216,13215,6940,7210,1.24761740026888,999.924334140436,4.15405569007264,2464,28371,0.0471433976541809,0.485436893203883
