"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"86550","E02003212 E02003216","E02003212","E02003216",100,0,5,0,3,81,6,3,2,0,7.51999998092651,4.51999998092651,1.9099999666214,-0.0900000035762787,77.2300033569336,-3.76999998092651,8.75,5.75,1.82000005245209,-0.180000007152557,76.3000030517578,-4.69999980926514,25.8799991607666,22.8799991607666,1.51999998092651,-0.479999989271164,61.9099998474121,-19.0900001525879,37.1399993896484,34.1399993896484,1.28999996185303,-0.709999978542328,52.5,-28.5,-0.00187999999616295,3486,-0.00467999977990985,8688,-0.00279999990016222,5202,-0.00531999999657273,9877,-0.00344999996013939,6391,-0.016950000077486,31440,-0.0150699997320771,27954,-0.0158500000834465,29404,-0.0139699997380376,25918,-0.00121999997645617,2263,-0.00304999994114041,5650,-0.00182999996468425,3387,-0.00347999995574355,6455,-0.00225999997928739,4192,-0.0110400002449751,20484,-0.00982000026851892,18221,-0.0104000000283122,19294,-0.00918000005185604,17031,-869,-2167,-1298,-2490,-1621,-7443,-6574,-10681,-9812,0,6.2589731117858,"Swindon 001","Swindon 005",6.822,8.861,3046,4324,1.08995515369031,1.2988859571973,1.30460275579009,1272,25706,0.0159124252341722,3
"86551","E02003212 E02003217","E02003212","E02003217",47,0,4,0,0,36,0,3,4,0,4.46000003814697,1.46000003814697,3.86999988555908,-0.129999995231628,34.810001373291,-1.19000005722046,4.25,1.25,3.92000007629395,-0.0799999982118607,34.9900016784668,-1.00999999046326,7.38000011444092,4.38000011444092,3.53999996185303,-0.46000000834465,32.3899993896484,-3.60999989509583,12.6499996185303,9.64999961853027,3.0699999332428,-0.930000007152557,28.0799999237061,-7.92000007629395,-0.00249000010080636,4622,-0.00364000000990927,6744,-0.0011399999493733,2122,-0.00350999995134771,6518,-0.00101999996695668,1896,-0.0059000002220273,10936,-0.00340000004507601,6314,-0.00674000009894371,12507,-0.004250000230968,7885,-0.00173000001814216,3203,-0.00255000009201467,4724,-0.000820000015664846,1521,-0.00243999995291233,4517,-0.000709999992977828,1314,-0.004250000230968,7889,-0.0025299999397248,4686,-0.00514000002294779,9535,-0.0034099998883903,6332,-1228,-1835,-607,-1739,-511,-3068,-1840,-5265,-4037,0,8.69690782195926,"Swindon 001","Swindon 006",10.078,10.839,4438,5878,1.1588026694446,1.0755110140901,1.19071244294503,1879,32472,0.0206661131100655,6.38297872340426
"86552","E02003212 E02003219","E02003212","E02003219",428,0,20,0,4,356,30,9,7,2,26.0499992370605,17.0499992370605,6.71999979019165,-0.280000001192093,341.519989013672,-14.4799995422363,15.3699998855591,6.36999988555908,6.90000009536743,-0.100000001490116,350.660003662109,-5.34000015258789,94.5,85.5,5.57000017166138,-1.42999994754791,283.350006103516,-72.6500015258789,143.869995117188,134.869995117188,4.75,-2.25,241.410003662109,-114.589996337891,-0.00645999982953072,11979,-0.0187999997287989,34876,-0.0123399998992682,22897,-0.0109599996358156,20328,-0.0044999998062849,8349,-0.0722199976444244,133993,-0.065760001540184,122014,-0.0712599977850914,132211,-0.064800001680851,120232,-0.00420999992638826,7802,-0.012249999679625,22721,-0.00803999975323677,14919,-0.00713999988511205,13239,-0.00292999995872378,5437,-0.0470900014042854,87360,-0.0428799986839294,79558,-0.0468199998140335,86860,-0.0426100008189678,79058,-2976,-8744,-5768,-5082,-2106,-31949,-28973,-48664,-45688,0,6.6045347728584,"Swindon 001","Swindon 008",7.753,10.094,3162,4566,1.17389040509882,1.30194763317425,1.30272152715078,1445,24571,0.0133742817515356,2.10280373831776
"86553","E02003212 E02003220","E02003212","E02003220",187,0,34,0,5,132,10,2,4,0,10.3500003814697,8.35000038146973,3.8199999332428,-0.180000007152557,126.050003051758,-5.94999980926514,4.05999994277954,2.05999994277954,3.97000002861023,-0.0299999993294477,130.539993286133,-1.46000003814697,46.7700004577637,44.7700004577637,3.01999998092651,-0.980000019073486,100.050003051758,-31.9500007629395,67.629997253418,65.629997253418,2.5699999332428,-1.42999994754791,85.1699981689453,-46.8300018310547,-0.0013399999588728,2489,-0.00686000008136034,12726,-0.00552000012248755,10237,-0.00270000007003546,5015,-0.00135999999474734,2526,-0.0327400006353855,60747,-0.0313999988138676,58258,-0.0299100000411272,55494,-0.0285700000822544,53005,-0.000869999988935888,1617,-0.00447000004351139,8298,-0.00359999993816018,6681,-0.00176000001374632,3258,-0.000880000006873161,1641,-0.0213900003582239,39677,-0.0205099992454052,38060,-0.0197199992835522,36580,-0.0188500005751848,34963,-520,-2707,-2187,-1056,-536,-12260,-11740,-17728,-17208,0,6.55210088827672,"Swindon 001","Swindon 009",7.234,8.631,3090,3928,1.104073353471,1.19311584185789,1.20265413325961,1348,25402,0.0158730158730159,1.06951871657754
"86554","E02003212 E02003221","E02003212","E02003221",113,0,12,2,1,79,16,0,3,0,3.92000007629395,3.92000007629395,2.90000009536743,-0.100000001490116,76.2600021362305,-2.74000000953674,0,0,3,0,79,0,20.6499996185303,20.6499996185303,2.46000003814697,-0.540000021457672,64.5899963378906,-14.4099998474121,33.5699996948242,33.5699996948242,2.10999989509583,-0.889999985694885,55.5699996948242,-23.4300003051758,0,0,-0.00322999991476536,5999,-0.00322999991476536,5999,0,0,0,0,-0.0180600006133318,33499,-0.0180600006133318,33499,-0.0180900003761053,33565,-0.0180900003761053,33565,0,0,-0.00213999999687076,3961,-0.00213999999687076,3961,0,0,0,0,-0.0119399996474385,22148,-0.0119399996474385,22148,-0.0121700000017881,22576,-0.0121700000017881,22576,0,-1270,-1270,0,0,-6681,-6681,-10868,-10868,0,8.18020845700183,"Swindon 001","Swindon 010",9.162,10.985,3954,5404,1.12002035744674,1.19897402313905,1.21152586771447,1708,31141,0.013928083750569,0
"86555","E02003212 E02003223","E02003212","E02003223",258,0,26,0,5,194,18,8,7,0,15.4300003051758,7.42999982833862,6.78999996185303,-0.209999993443489,188.240005493164,-5.76000022888184,11.3299999237061,3.32999992370605,6.8899998664856,-0.109999999403954,191.460006713867,-2.53999996185303,35.7200012207031,27.7199993133545,6.28000020980835,-0.720000028610229,172.360000610352,-21.6399993896484,63.5900001525879,55.5900001525879,5.48999977111816,-1.50999999046326,150.75,-43.25,-0.00779000017791986,14445,-0.0151300001889467,28063,-0.00734000001102686,13618,-0.0109900003299117,20394,-0.00320999999530613,5949,-0.0361500009894371,67071,-0.0283700004220009,52626,-0.0437600016593933,81184,-0.0359699986875057,66739,-0.00522000016644597,9690,-0.0100999996066093,18743,-0.00487999990582466,9053,-0.00736999977380037,13671,-0.00215000007301569,3981,-0.0240800008177757,44673,-0.0188599992543459,34983,-0.0296400003135204,54998,-0.0244200006127357,45308,-3377,-6585,-3208,-4791,-1414,-15431,-12054,-27472,-24095,0,9.7341986356626,"Swindon 001","Swindon 012",10.948,16.35,4616,8676,1.12469453416437,1.49342345633906,1.07782243332115,2041,32805,0.0112538226299694,3.10077519379845
"86556","E02003212 E02003224","E02003212","E02003224",45,0,0,0,0,43,2,0,0,0,1.53999996185303,1.53999996185303,0,0,41.5299987792969,-1.47000002861023,0,0,0,0,43,0,7.90999984741211,7.90999984741211,0,0,35.4300003051758,-7.57000017166138,12.9499998092651,12.9499998092651,0,0,30.6100006103516,-12.3900003433228,0,0,-0.00141000002622604,2609,-0.00141000002622604,2609,0,0,0,0,-0.00767999980598688,14251,-0.00767999980598688,14251,-0.00803000014275312,14898,-0.00803000014275312,14898,0,0,-0.000899999984540045,1677,-0.000899999984540045,1677,0,0,0,0,-0.00493999989703298,9161,-0.00493999989703298,9161,-0.00516000017523766,9577,-0.00516000017523766,9577,0,-714,-714,0,0,-3668,-3668,-6006,-6006,0,7.66967404450674,"Swindon 001","Swindon 013",9.149,11.901,3940,6122,1.19287989905553,1.30079790140999,1.11487594272598,1705,47376,0.0119317704394589,0
"86557","E02003212 E02003225","E02003212","E02003225",92,0,2,0,1,81,3,2,3,0,4.05999994277954,2.05999994277954,2.9300000667572,-0.0700000002980232,79.1399993896484,-1.86000001430511,2.58999991416931,0.589999973773956,2.98000001907349,-0.0199999995529652,80.4800033569336,-0.519999980926514,8.8100004196167,6.80999994277954,2.76999998092651,-0.230000004172325,74.8399963378906,-6.15999984741211,17.7900009155273,15.789999961853,2.47000002861023,-0.529999971389771,66.75,-14.25,-0.00236999988555908,4398,-0.00479000015184283,8879,-0.00242000003345311,4481,-0.00306000001728535,5681,-0.000690000015310943,1283,-0.0105499997735023,19575,-0.00817999988794327,15177,-0.0143200000748038,26562,-0.0119500001892447,22164,-0.00158999999985099,2941,-0.00320999999530613,5954,-0.00161999999545515,3013,-0.00205000001005828,3799,-0.000460000010207295,858,-0.00712000019848347,13201,-0.00553000019863248,10260,-0.00987999979406595,18335,-0.0082999998703599,15394,-1182,-2420,-1238,-1532,-350,-5291,-4109,-10688,-9506,0,11.2337669815092,"Swindon 001","Swindon 014",13.169,15.021,5524,7016,1.17226928613315,1.14063330549017,1.01754119523122,2455,45784,0.011983223487118,2.17391304347826
"86558","E02003212 E02003226","E02003212","E02003226",204,0,51,0,0,90,51,2,9,0,8.3100004196167,6.30999994277954,8.72000026702881,-0.280000001192093,87.1999969482422,-2.79999995231628,3.57999992370605,1.58000004291534,8.9399995803833,-0.0599999986588955,89.1800003051758,-0.819999992847443,31.3799991607666,29.3799991607666,7.67999982833862,-1.32000005245209,76.9800033569336,-13.0200004577637,53.939998626709,51.939998626709,6.67999982833862,-2.3199999332428,66.9400024414062,-23.0599994659424,-0.00179000000935048,3323,-0.00743999984115362,13798,-0.00565000018104911,10475,-0.00322999991476536,5987,-0.0014400000218302,2664,-0.0287999995052814,53428,-0.0270099993795156,50105,-0.0313300006091595,58130,-0.0295400004833937,54807,-0.00121000001672655,2248,-0.00503000011667609,9338,-0.00381999998353422,7090,-0.00216999999247491,4031,-0.00095999997574836,1783,-0.0195700004696846,36309,-0.0183600001037121,34061,-0.021959999576211,40748,-0.0207499992102385,38500,-468,-1937,-1469,-901,-433,-7299,-6831,-12569,-12101,1,9.08358117951089,"Swindon 001","Swindon 015",10.414,14.16,4532,7596,1.14646413063275,1.35970808526983,1.10428269637027,1941,31784,0.0119350282485876,0.980392156862745
"86559","E02003212 E02003227","E02003212","E02003227",49,0,6,1,1,37,3,0,1,0,1.72000002861023,1.72000002861023,0.959999978542328,-0.0399999991059303,35.7099990844727,-1.28999996185303,0,0,1,0,37,0,8.77999973297119,8.77999973297119,0.819999992847443,-0.180000007152557,30.4300003051758,-6.57000017166138,14.2299995422363,14.2299995422363,0.699999988079071,-0.300000011920929,26.3199996948242,-10.6800003051758,0,0,-0.00150999997276813,2793,-0.00150999997276813,2793,0,0,0,0,-0.00817000027745962,15153,-0.00817000027745962,15153,-0.00822999980300665,15272,-0.00822999980300665,15272,0,0,-0.000989999971352518,1832,-0.000989999971352518,1832,0,0,0,0,-0.00536999991163611,9958,-0.00536999991163611,9958,-0.00547999981790781,10166,-0.00547999981790781,10166,0,-629,-629,0,0,-3212,-3212,-5221,-5221,0,8.6299147154772,"Swindon 001","Swindon 016",9.754,12.83,4230,6784,1.1302545067458,1.31535780192741,1.03547262661472,1818,30773,0.0114575214341387,0
